"team","year","player_name","hometown","high_school","status"
"Arizona",2016,"Rawle Alkins","Middle Village, NY","Word Of God Christian Academy","Enrolled"
"Arizona",2016,"Kobi Simmons","Alpharetta, GA","St. Francis","Enrolled"
"Arizona",2016,"Lauri Markkanen","Paterson, NJ","International","Enrolled"
"Arizona State",2016,"Romello White","Suwanee, GA","Wheeler","Enrolled"
"Arizona State",2016,"Jethro Tshisumpa","Grundy, VA","Mountain Mission School","Enrolled"
"Arizona State",2016,"Ramon Vila","Barcelona","Spain","Enrolled"
"Arizona State",2016,"Vitaliy Shibel","Lee, ME","Lee Academy","Enrolled"
"Baylor",2016,"Mark Vital","Lake Charles, LA","Washington-Marion","Enrolled"
"Baylor",2016,"Nuni Omot","Ottumwa, IA",NA,"Enrolled"
"BYU",2016,"Yoeli Childs","South Jordan, UT","Bingham","Enrolled"
"BYU",2016,"Connor Harding","Pocatello, ID","Highland","Enrolled"
"BYU",2016,"Steven Beo","Richland, WA","Richland","Enrolled"
"Cincinnati",2016,"Jarron Cumberland","Wilmington, OH","Wilmington","Enrolled"
"Cincinnati",2016,"Nysier Brooks","Burlington, NJ","Life Center Academy","Enrolled"
"Colorado",2016,"Bryce Peters","La Verne, CA","Damien","Enrolled"
"Colorado",2016,"Dallas Walton","Arvada, CO","Arvada West","Enrolled"
"Houston",2016,"Valentine Sangoyomi","Tonkawa, OK","Erie First Christian Academy","Enrolled"
"Iowa State",2016,"Cameron Lard","Natchitoches, LA","Natchitoches Central","Enrolled"
"Iowa State",2016,"Jakolby Long","Mustang, OK","Mustang","Enrolled"
"Iowa State",2016,"Donovan Jackson","Council Bluffs, IA",NA,"Enrolled"
"Kansas",2016,"Patrick Muldoon","Basehor, KS","Basehor-Linwood","Enrolled"
"Kansas State",2016,"Xavier Sneed","Florissant, MO","Hazelwood Central","Enrolled"
"Kansas State",2016,"Cartier Diarra","Florence, SC","West Florence","Enrolled"
"Oklahoma State",2016,"Cameron McGriff","Grand Prairie, TX","South Grand Prairie","Enrolled"
"TCU",2016,"Jaylen Fisher","Arlington, TN","Bolton","Enrolled"
"TCU",2016,"Desmond Bane","Richmond, IN","Seton Catholic","Enrolled"
"TCU",2016,"Kouat Noi","Montverde, FL","Montverde Academy","Enrolled"
"Texas Tech",2016,"Niem Stevenson","Liberal, KS","Faith Baptist Christian School","Enrolled"
"Utah",2016,"Jayce Johnson","Santa Monica, CA","Santa Monica","Enrolled"
"Utah",2016,"Devon Daniels","Kalamazoo, MI","Prolific Prep","Enrolled"
"Utah",2016,"Jojo Zamora","Marysville, CA",NA,"Enrolled"
"Utah",2016,"Sedrick Barefield","Corona, CA","Centennial","Enrolled"
"West Virginia",2016,"Sagaba Konate","Hermitage, PA","Kennedy Catholic","Enrolled"
"West Virginia",2016,"Maciej Bender","Grundy, VA","Mountain Mission School","Enrolled"
"West Virginia",2016,"Chase Harler","Wheeling, WV","Wheeling Central Catholic","Enrolled"
"Arizona",2017,"Emmanuel Akot","Mount Pleasant, UT","Wasatch Academy","Enrolled"
"Arizona",2017,"Ira Lee","San Pedro, CA","Prolific Prep","Enrolled"
"Arizona State",2017,"Kimani Lawrence","Ashburnham, MA","New Hampton School","Enrolled"
"Arizona State",2017,"Remy Martin","Chatsworth, CA","Sierra Canyon","Enrolled"
"Arizona State",2017,"De'Quon Lake","Council Bluffs, IA",NA,"Enrolled"
"Baylor",2017,"Tristan Clark","Converse, TX","Judson","Enrolled"
"Baylor",2017,"Leonard Allen","Round Rock, TX","Round Rock","Enrolled"
"Cincinnati",2017,"Trevor Moore","Whitney, TX","Whitney","Enrolled"
"Colorado",2017,"Evan Battey","Villa Park, CA","Villa Park","Enrolled"
"Colorado",2017,"McKinley Wright","Champlin, MN","Champlin Park Senior","Enrolled"
"Colorado",2017,"Lazar Nikolic","Belgrade","Italy","Enrolled"
"Houston",2017,"Fabian White","Humble, TX","Atascocita","Enrolled"
"Houston",2017,"Mike Adewunmi","Mansfield, TX","Lake Ridge","Enrolled"
"Houston",2017,"Breaon Brady","Mission Viejo, CA",NA,"Enrolled"
"Iowa State",2017,"Lindell Wigginton","Mouth Of Wilson, VA","Oak Hill Academy","Enrolled"
"Kansas",2017,"Billy Preston","Mouth Of Wilson, VA","Oak Hill Academy","Enrolled"
"Kansas",2017,"Silvio De Sousa","Montverde, FL","IMG Academy","Enrolled"
"Kansas State",2017,"Mike McGuirl","Bolton, CT","East Catholic","Enrolled"
"Kansas State",2017,"Levi Stockard","Saint Louis, MO","Vashon","Enrolled"
"Kansas State",2017,"Amaad Wainright","Athens, TX",NA,"Enrolled"
"Oklahoma State",2017,"Michael Weathers","Mission, KS","Shawnee Mission North","Enrolled"
"TCU",2017,"R.J. Nembhard","Keller, TX","Keller","Enrolled"
"TCU",2017,"Lat Mayen","Canberra","Australian Institute of Sport","Enrolled"
"TCU",2017,"Shawn Olden","Hobbs, NM",NA,"Enrolled"
"TCU",2017,"Andre Pierce","Baytown, TX",NA,"Signed"
"Texas Tech",2017,"Hyron Edwards","East Chicago, IN","East Chicago Central","Enrolled"
"Texas Tech",2017,"Malik Ondigo","Putnam, CT","Putnam Science Academy","Enrolled"
"Texas Tech",2017,"Josh Webster","Levelland, TX",NA,"Enrolled"
"Texas Tech",2017,"Davide Moretti","Bologna","Italy","Enrolled"
"UCF",2017,"Kani Coles","Pensacola, FL",NA,"Committed"
"Utah",2017,"Branden Carlson","South Jordan, UT","Bingham","Enrolled"
"Utah",2017,"Christian Popoola","American Fork, UT","Bishop Gorman","Enrolled"
"Utah",2017,"Jaxon Brenchley","Hyrum, UT","Mountain Crest","Enrolled"
"Utah",2017,"Vante Hendrix","Van Nuys, CA","Birmingham","Enrolled"
"West Virginia",2017,"Teddy Allen","Boys Town, NE","Boys Town","Enrolled"
"West Virginia",2017,"Brandon Knapper","Chatham, VA","Hargrave Military Academy (HS)","Enrolled"
"Arizona",2018,"Brandon Williams","Encino, CA","Crespi","Enrolled"
"Arizona",2018,"Devonaire Doutrive","Van Nuys, CA","Birmingham","Enrolled"
"Arizona",2018,"Omar Thielemans","Ghent","Gistel Oostende","Enrolled"
"Arizona State",2018,"Taeshon Cherry","El Cajon, CA","Foothills Christian","Enrolled"
"Arizona State",2018,"Luguentz Dort","Mono, ON","The Conrad Academy","Enrolled"
"Arizona State",2018,"Uros Plavsic","Cacak","Hamilton Heights Christian Academy","Enrolled"
"Baylor",2018,"Flo Thamba","Grundy, VA","Mountain Mission School","Enrolled"
"Baylor",2018,"Darius Allen","Hollywood, FL","Chaminade-Madonna Prep","Enrolled"
"Cincinnati",2018,"Logan Johnson","Mountain View, CA","St. Francis","Enrolled"
"Cincinnati",2018,"LaQuill Hardnett","Nottingham, MD","Perry Hall","Enrolled"
"Cincinnati",2018,"Rashawn Fredericks","Tullahoma, TN",NA,"Enrolled"
"Cincinnati",2018,"Rapolas Ivanauskas","Barrington, IL","Barrington","Enrolled"
"Colorado",2018,"Elijah Parquet","Westbrook, TX","Westbrook School","Enrolled"
"Colorado",2018,"Shane Gatling","Ottumwa, IA",NA,"Enrolled"
"Colorado",2018,"Jakub Dombek","Ostrava","Get Better Academy","Enrolled"
"Houston",2018,"Nate Hinton","Gastonia, NC","Gaston Day School Inc","Enrolled"
"Houston",2018,"Darius Bowser","Gaffney, SC","Gaffney","Enrolled"
"Iowa State",2018,"Zion Griffin","Darien, IL","Hinsdale South","Enrolled"
"Iowa State",2018,"Prentiss Nixon","Bolingbrook, IL","Bolingbrook","Enrolled"
"Kansas",2018,"Quentin Grimes","The Woodlands, TX","College Park","Enrolled"
"Kansas",2018,"Garrett Luinstra","Lawrence, KS","Lawrence Free State","Enrolled"
"Kansas State",2018,"Shaun Williams","Florissant, MO","Hazelwood Central","Enrolled"
"Kansas State",2018,"Austin Trice","Mount Carmel, IL",NA,"Enrolled"
"Oklahoma State",2018,"Isaac Likekele","Mansfield, TX","Mansfield Timberview","Enrolled"
"Oklahoma State",2018,"Maurice Calloo","Huntington, WV","Oak Hill Academy","Enrolled"
"Oklahoma State",2018,"Duncan Demuth","Seminole, FL","Seminole","Enrolled"
"Oklahoma State",2018,"Curtis Jones","Highland Springs, VA","Huntington Prep","Enrolled"
"TCU",2018,"Kaden Archie","Midlothian, TX","Midlothian","Enrolled"
"TCU",2018,"Yuat Alok","Sarasota, FL","Impact Academy","Enrolled"
"Texas Tech",2018,"Josh Mballa","Bordeaux","Putnam Science Academy","Enrolled"
"UCF",2018,"Andreas Fuller","Saint Petersburg, FL","Admiral Farragut Academy","Enrolled"
"Utah",2018,"Riley Battin","Oak Park, CA","Oak Park","Enrolled"
"Utah",2018,"Lahat Thioune","Melbourne, FL","Florida Air Academy","Enrolled"
"Utah",2018,"Charles Jones","Rogerson, ID",NA,"Enrolled"
"West Virginia",2018,"Derek Culver","Wolfeboro, NH","Brewster Academy","Enrolled"
"West Virginia",2018,"Jordan McCabe","Kaukauna, WI","Kaukauna","Enrolled"
"West Virginia",2018,"Jermaine Haley","Burnaby, BC","Sunrise Christian Academy","Enrolled"
"West Virginia",2018,"Andrew Gordon","South Kent, CT","South Kent School","Enrolled"
"Arizona",2019,"Josh Green","Bradenton, FL","IMG Academy","Enrolled"
"Arizona",2019,"Zeke Nnaji","Hopkins, MN","Hopkins","Enrolled"
"Arizona",2019,"Christian Koloko","Chatsworth, CA","Sierra Canyon","Enrolled"
"Arizona State",2019,"Alonzo Verge Jr.","Villa Park, IL","Proviso West","Enrolled"
"Baylor",2019,"Adam Flagler","Duluth, GA","Duluth","Enrolled"
"Baylor",2019,"Jonathan Tchamwa Tchatchoua","Douala","NBA Global Academy","Enrolled"
"Baylor",2019,"Jared Butler","Reserve, LA","Riverside Academy","Signed"
"BYU",2019,"Bernardo Da Silva","Mount Pleasant, UT","Wasatch Academy","Enrolled"
"Cincinnati",2019,"Zach Harvey","Topeka, KS","Hayden","Enrolled"
"Cincinnati",2019,"Jeremiah Davenport","Chatham, VA","Hargrave Military Academy","Enrolled"
"Cincinnati",2019,"Chris Vogt","Mayfield, KY","Graves County","Enrolled"
"Colorado",2019,"Keeshawn Barthelemy","Ontario, CA","Thornlea Secondary School","Enrolled"
"Colorado",2019,"Maddox Daniels","Fort Myers, FL",NA,"Enrolled"
"Houston",2019,"Caleb Mills","Swannanoa, NC","Asheville Christian Academy","Enrolled"
"Houston",2019,"Marcus Sasser","Red Oak, TX","Red Oak","Enrolled"
"Iowa State",2019,"Luke Anderson","Lakeland, FL","Lakeland","Enrolled"
"Iowa State",2019,"Marcedus Leech","Poplar Bluff, MO","Poplar Bluff","Enrolled"
"Iowa State",2019,"Caleb Grill","Maize, KS","Maize","Enrolled"
"Iowa State",2019,"Tre Jackson","Blythewood, SC","Blythewood","Enrolled"
"Iowa State",2019,"Javan Johnson","Decatur, AL","Austin","Enrolled"
"Iowa State",2019,"Rasir Bolton","Woodstock, VA","Massanutten Military Academy","Committed"
"Kansas",2019,"Jalen Wilson","Denton, TX","Guyer","Enrolled"
"Kansas",2019,"Tristan Enaruna","Mount Pleasant, UT","Wasatch Academy","Enrolled"
"Kansas",2019,"Dajuan Harris","Columbia, MO","Rock Bridge","Enrolled"
"Kansas",2019,"Isaiah Moss","New Lenox, IL","Lincoln Way West","Enrolled"
"Kansas State",2019,"Montavious Murphy","Spring, TX","Concordia Lutheran","Enrolled"
"Kansas State",2019,"David Sloan","Campbellsville, KY","Taylor County","Enrolled"
"Kansas State",2019,"Antonio Gordon","Lawton, OK","Eisenhower","Enrolled"
"Kansas State",2019,"Goodnews Kpegeol","Pensacola, FL","Taylor Made Basketball","Enrolled"
"Oklahoma State",2019,"Marcus Watson","Buford, GA","Buford","Enrolled"
"Oklahoma State",2019,"Avery Anderson III","Justin, TX","Northwest","Enrolled"
"TCU",2019,"Diante Smith","Fort Walton Beach, FL","Choctawhatchee","Enrolled"
"TCU",2019,"Mickey Pearson","Elizabethtown, KY","Hargrave Military Academy (HS)","Enrolled"
"TCU",2019,"Francisco Farabello","Canberra","NBA Global Academy","Enrolled"
"TCU",2019,"Edric Dennis","DeSoto, TX","DeSoto","Enrolled"
"Texas Tech",2019,"Jahmi'us Ramsey","Mansfield, TX","Duncanville","Enrolled"
"Texas Tech",2019,"Terrence Shannon","Bradenton, FL","IMG Academy","Enrolled"
"Texas Tech",2019,"Tyreek Smith","Cedar Hill, TX","Trinity Leadership","Enrolled"
"Texas Tech",2019,"Russel Tchewa","Putnam, CT","Putnam Science Academy","Enrolled"
"Texas Tech",2019,"Clarence Nadolny","Scotland, PA","Scotland Campus","Enrolled"
"Texas Tech",2019,"Andrei Savrasov","Saint Petersburg","Russia","Enrolled"
"UCF",2019,"Tony Johnson","Eufaula, AL","Eufaula","Enrolled"
"UCF",2019,"Moses Bol","Colby, KS",NA,"Enrolled"
"UCF",2019,"Avery Diggs","Summit, MS",NA,"Enrolled"
"UCF",2019,"Dazon Ingram","Theodore, AL","Theodore","Enrolled"
"UCF",2019,"Yuat Alok","Sarasota, FL","Impact Academy","Enrolled"
"Utah",2019,"Matthew Van Komen","Pleasant Grove, UT","Pleasant Grove","Enrolled"
"Utah",2019,"Rylan Jones","Logan, UT","Olympus","Enrolled"
"Utah",2019,"Brendan Wenzel","Helotes, TX","O'Connor","Enrolled"
"Utah",2019,"Alfonso Plummer","Yuma, AZ",NA,"Enrolled"
"West Virginia",2019,"Oscar Tshiebwe","Hermitage, PA","Kennedy Catholic","Enrolled"
"West Virginia",2019,"Jalen Bridges","Fairmont, WV","Fairmont","Enrolled"
"West Virginia",2019,"Taz Sherman","Missouri City, TX","Fort Bend Marshall","Enrolled"
"West Virginia",2019,"Sean McNeil","Union, KY","Ryle","Enrolled"
"West Virginia",2019,"Ethan Richardson","Madera, CA","Madera Christian School","Committed"
"Arizona",2020,"Tibet Gorener","Orange, CA","Orange Lutheran","Enrolled"
"Arizona",2020,"Daniel Batcho","Paris","France","Enrolled"
"Arizona",2020,"Kerr Kriisa","Tartu","Estonia","Enrolled"
"Arizona",2020,"Azuolas Tubelis","Vilnius","Lithuania","Enrolled"
"Arizona",2020,"Tautvilas Tubelis","Vilnius","Lithuania","Enrolled"
"Arizona",2020,"James Akinjo","Richmond, CA","Salesian College Preparatory","Enrolled"
"Arizona State",2020,"Joshua Christopher","Lakewood, CA","Mayfair","Enrolled"
"Arizona State",2020,"Pavlo Dziuba","Kyiv","Ukraine","Enrolled"
"Arizona State",2020,"Chris Osten","Crowley, LA","Crowley","Enrolled"
"Arizona State",2020,"Holland Woods","Glendale, AZ","Apollo","Enrolled"
"Baylor",2020,"LJ Cryer","Katy, TX","Morton Ranch","Enrolled"
"Baylor",2020,"Zach Loveday","Gallipolis, OH","Huntington Prep","Enrolled"
"BYU",2020,"Caleb Lohner","Flower Mound, TX","Wasatch Academy","Enrolled"
"BYU",2020,"Richie Saunders","Mount Pleasant, UT","Wasatch Academy","Enrolled"
"BYU",2020,"Gideon George","Minna",NA,"Enrolled"
"BYU",2020,"Tanner Toolson","Vancouver, WA","Evergreen","Enrolled"
"Cincinnati",2020,"Viktor Lakhin","Moscow","Russia","Enrolled"
"Cincinnati",2020,"Rapolas Ivanauskas","Barrington, IL","Barrington","Enrolled"
"Colorado",2020,"Luke O'Brien","Littleton, CO","Columbine","Enrolled"
"Colorado",2020,"Tristan da Silva","Munich","Germany","Enrolled"
"Houston",2020,"Tramon Mark","Dickinson, TX","Dickinson","Enrolled"
"Houston",2020,"Jamal Shead","Manor, TX","Manor","Enrolled"
"Houston",2020,"Ryan Elvin","Round Rock, TX","Cedar Ridge","Enrolled"
"Iowa State",2020,"Xavier Foster","Oskaloosa, IA","Oskaloosa","Enrolled"
"Iowa State",2020,"Dudley Blackwell","Pembroke Pines, FL","Somerset Academy Charter","Enrolled"
"Iowa State",2020,"Jaden Walker","Lawrenceville, GA","Discovery","Enrolled"
"Iowa State",2020,"Darlinstone Dubar","Scotland, PA","Scotland Campus","Enrolled"
"Kansas",2020,"Latrell Jossell","Keller, TX","Keller Central","Enrolled"
"Kansas",2020,"Tyon Grant-Foster","Kansas City, KS","F L Schlagle","Enrolled"
"Kansas State",2020,"Davion Bradford","Saint Louis, MO","Mehlville","Enrolled"
"Kansas State",2020,"Luke Kasubke","Saint Louis, MO","Chaminade","Enrolled"
"Kansas State",2020,"Rudi Williams","Hamilton, ON",NA,"Enrolled"
"Kansas State",2020,"Carlton Linguard","Temple, TX",NA,"Enrolled"
"Kansas State",2020,"Kaosi Ezeagu","Brampton, ON","GTA Prep","Enrolled"
"Oklahoma State",2020,"Matthew-Alexander Moncrieffe","Mono, ON","Orangeville Prep","Enrolled"
"Oklahoma State",2020,"Bryce Williams","Bushnell, FL","South Sumter","Enrolled"
"Oklahoma State",2020,"Ferron Flavors","Federal Way, WA","Federal Way","Enrolled"
"TCU",2020,"Mike Miles","Lancaster, TX","Lancaster","Enrolled"
"TCU",2020,"Terren Frank","Chatsworth, CA","Sierra Canyon","Enrolled"
"TCU",2020,"Eddie Lampkin","Katy, TX","Morton Ranch","Enrolled"
"Texas Tech",2020,"Micah Peavy","Duncanville, TX","Duncanville","Enrolled"
"Texas Tech",2020,"Vladislav Goldin","Putnam, CT","Putnam Science Academy","Enrolled"
"Texas Tech",2020,"Marcus Santos-Silva","Saxtons River, VT","Vermont Academy","Enrolled"
"Texas Tech",2020,"Mac McClung","Gate City, VA","Gate City","Enrolled"
"UCF",2020,"Jamille Reynolds","Saint Petersburg, FL","Lakewood","Enrolled"
"UCF",2020,"Darius Perry","Marietta, GA","Wheeler","Enrolled"
"Utah",2020,"Ian Martinez","San Juan Capistrano, CA","JSerra Catholic","Enrolled"
"Utah",2020,"Pelle Larsson","Nacka","Sweden","Enrolled"
"Utah",2020,"Jordan Kellier","Williston, ND",NA,"Enrolled"
"Utah",2020,"Norbert Thelissen","Hertogenbosch","Netherlands","Signed"
"Utah",2020,"Mason Falslev","Smithfield, UT","Sky View","Committed"
"West Virginia",2020,"Isaiah Cottrell","Huntington, WV","Huntington Prep","Enrolled"
"West Virginia",2020,"Taj Thweatt","Wildwood, NJ","Wildwood Catholic","Enrolled"
"West Virginia",2020,"Seny Ndiaye","Huntington, WV","Huntington Prep","Enrolled"
"Arizona",2021,"Shane Nowell","Sammamish, WA","Eastside Catholic","Enrolled"
"Arizona",2021,"Adama Bal","Paris","INSEP Paris","Enrolled"
"Arizona",2021,"Pelle Larsson","Nacka","Sweden","Enrolled"
"Arizona",2021,"Justin Kier","Penn Laird, VA","Spotswood","Enrolled"
"Arizona",2021,"Oumar Ballo","Mali","NBA Academy Latin America","Enrolled"
"Arizona",2021,"Kim Aiken","Redlands, CA","Redlands East Valley","Enrolled"
"Arizona State",2021,"Enoch Boakye","Mississauga, ON","George Harris Prep","Enrolled"
"Arizona State",2021,"Justin Rochelin","Northridge, CA","Heritage Christian","Enrolled"
"Arizona State",2021,"Demari Williams","Glendale, AZ","Dream City Christian","Enrolled"
"Arizona State",2021,"William Felton","Chatham, VA","Hargrave Military Academy (HS)","Enrolled"
"Baylor",2021,"James Akinjo","Richmond, CA","Salesian College Preparatory","Enrolled"
"Baylor",2021,"Dale Bonner","Shaker Heights, OH","Shaker Heights","Enrolled"
"BYU",2021,"Fousseyni Traore","Bamako","Wasatch Academy","Enrolled"
"BYU",2021,"Atiki Ally Atiki","Mwanza","London Academy","Enrolled"
"Colorado",2021,"Lawson Lovering","Cheyenne, WY","Cheyenne Central","Enrolled"
"Colorado",2021,"K.J. Simpson","West Hills, CA","Chaminade","Enrolled"
"Colorado",2021,"Julian Hammond III","Englewood, CO","Cherry Creek","Enrolled"
"Colorado",2021,"Mason Faulkner","Horse Cave, KY","Caverna","Committed"
"Houston",2021,"Ja'Vier Francis","Montverde, FL","Montverde Academy","Enrolled"
"Houston",2021,"Josh Carlton","Winterville, NC","DeMatha Catholic","Enrolled"
"Iowa State",2021,"Tyrese Hunter","Racine, WI","St. Catherine's","Enrolled"
"Iowa State",2021,"Robert Jones","Prior Lake, MN","Prior Lake","Enrolled"
"Iowa State",2021,"Izaiah Brockington","Woodstock, CT","Woodstock Academy","Enrolled"
"Iowa State",2021,"Aljaz Kunc","Sarasota, FL","Impact Academy","Enrolled"
"Iowa State",2021,"Tre King","Chatham, VA","Hargrave Military Academy","Enrolled"
