"team","logo_url"
"Arizona","logos/arizona.svg"
"Arizona State","logos/arizona-state.svg"
"Baylor","logos/baylor.svg"
"BYU","logos/byu.svg"
"Cincinnati","logos/cincinnati.svg"
"Colorado","logos/colorado.svg"
"Houston","logos/houston.png"
"Iowa State","logos/iowa-state.svg"
"Kansas","logos/kansas.svg"
"Kansas State","logos/kansas-state.svg"
"Oklahoma State","logos/oklahoma-state.svg"
"TCU","logos/tcu.svg"
"Texas Tech","logos/texas-tech.svg"
"UCF","logos/ucf.svg"
"Utah","logos/utah.svg"
"West Virginia","logos/west-virginia.svg"
